variable	SNACS1	SNACS2	SNACS3	SNACS4	SNACS5	SNACS6	SNACS7	SNACS14	SNACS15	SNACS16
numCells_initial	3175	1705	1857	5549	2651	3365	11228	11963	7511	3565
numCells_final	NA	NA	NA	NA	2521	3350	11228	11963	7502	3565
snacsRnd1_SNACS1	NA	NA	NA	NA	1599	NA	4657	NA	583	603
snacsRnd1_SNACS2	NA	NA	NA	NA	735	877	583	NA	257	357
snacsRnd1_SNACS3	NA	NA	NA	NA	NA	608	2959	NA	404	599
snacsRnd1_SNACS4	NA	NA	NA	NA	NA	1121	1519	NA	240	50
snacsRnd1_SNACS5	NA	NA	NA	NA	NA	NA	NA	1174	470	306
snacsRnd1_SNACS6	NA	NA	NA	NA	NA	NA	NA	3367	234	477
snacsRnd1_SNACS7	NA	NA	NA	NA	NA	NA	NA	2757	317	183
snacsRnd1_SNACS8	NA	NA	NA	NA	NA	NA	NA	2447	3333	843
snacsRnd1_multiplet	NA	NA	NA	NA	187	744	1510	2218	1664	147
snacsRnd2_SNACS1	NA	NA	NA	NA	1581	NA	4585	NA	556	537
snacsRnd2_SNACS2	NA	NA	NA	NA	735	784	577	NA	230	325
snacsRnd2_SNACS3	NA	NA	NA	NA	NA	582	2738	NA	400	470
snacsRnd2_SNACS4	NA	NA	NA	NA	NA	1050	1417	NA	228	50
snacsRnd2_SNACS5	NA	NA	NA	NA	NA	NA	NA	1140	464	276
snacsRnd2_SNACS6	NA	NA	NA	NA	NA	NA	NA	3325	234	459
snacsRnd2_SNACS7	NA	NA	NA	NA	NA	NA	NA	2748	317	178
snacsRnd2_SNACS8	NA	NA	NA	NA	NA	NA	NA	2414	3127	784
snacsRnd2_multiplet	NA	NA	NA	NA	205	934	1911	2336	1946	486
snacsPlusDoubletD_SNACS1	NA	NA	NA	NA	1577	NA	4313	NA	524	463
snacsPlusDoubletD_SNACS2	NA	NA	NA	NA	733	767	567	NA	213	275
snacsPlusDoubletD_SNACS3	NA	NA	NA	NA	NA	570	2598	NA	378	354
snacsPlusDoubletD_SNACS4	NA	NA	NA	NA	NA	1049	1402	NA	228	45
snacsPlusDoubletD_SNACS5	NA	NA	NA	NA	NA	NA	NA	1140	446	234
snacsPlusDoubletD_SNACS6	NA	NA	NA	NA	NA	NA	NA	3325	231	435
snacsPlusDoubletD_SNACS7	NA	NA	NA	NA	NA	NA	NA	2748	315	142
snacsPlusDoubletD_SNACS8	NA	NA	NA	NA	NA	NA	NA	2414	2768	605
snacsPlusDoubletD_multiplet	NA	NA	NA	NA	211	964	2348	2336	2399	1012
